indice_tiempo,ipc_chaco_historico_ng
1992-02-01,17.876110028
1992-03-01,18.187449728
1992-04-01,18.549469624
1992-05-01,18.669700560000003
1992-06-01,18.792885076
1992-07-01,18.988695292000003
1992-08-01,19.072042892000002
1992-09-01,19.264268352000002
1992-10-01,19.4887728
1992-11-01,19.705864976
1992-12-01,19.857678988
1993-01-01,19.795888476000002
1993-02-01,20.083656180000002
1993-03-01,20.345529484000004
1993-04-01,20.499309852000003
1993-05-01,20.626160044000002
1993-06-01,20.927951184
1993-07-01,20.924301692
1993-08-01,20.96851638
1993-09-01,21.09839298
1993-10-01,21.255976588000003
1993-11-01,21.405913256
1993-12-01,21.450459716
1994-01-01,21.529122048
1994-02-01,21.572648916
1994-03-01,21.468618164000002
1994-04-01,21.489883940000002
1994-05-01,21.499893744
1994-06-01,21.540669332
1994-07-01,21.616102956
1994-08-01,21.6596541
1994-09-01,21.695938628000004
1994-10-01,21.834368471999998
1994-11-01,21.899759924
1994-12-01,22.014925268000002
1995-01-01,22.199228660000003
1995-02-01,22.252522572
1995-03-01,22.30223982
1995-04-01,22.504523636000002
1995-05-01,22.699443732
1995-06-01,22.730533196
1995-07-01,22.862513716
1995-08-01,22.90849246
1995-09-01,22.922677736
1995-10-01,22.963242932
1995-11-01,22.986288948000002
1995-12-01,23.101421924000004
1996-01-01,23.182074888000002
1996-02-01,23.201180100000002
1996-03-01,23.236347932
1996-04-01,23.234875188000004
1996-05-01,23.220819384000002
1996-06-01,23.232091540000003
1996-07-01,23.255760640000002
1996-08-01,23.265511500000002
1996-09-01,23.265689524000003
1996-10-01,23.346447684
1996-11-01,23.390767568000005
1996-12-01,23.402233931999998
1997-01-01,23.383314836
1997-02-01,23.37685742
1997-03-01,23.406749268000002
1997-04-01,23.444530816
1997-05-01,23.41525396
1997-06-01,23.403884700000003
1997-07-01,23.425943492
1997-08-01,23.457850248000003
1997-09-01,23.450017192
1997-10-01,23.467091312
1997-11-01,23.372382544
1997-12-01,23.4091445
1998-01-01,23.49338222
1998-02-01,23.493147552
1998-03-01,23.448762932
1998-04-01,23.505018516
1998-05-01,23.515424828000004
1998-06-01,23.557349480000003
1998-07-01,23.550625028000002
1998-08-01,23.659187300000003
1998-09-01,23.659769924000003
1998-10-01,23.697939888000004
1998-11-01,23.670103408000003
1998-12-01,23.719367504
1999-01-01,23.696855560000003
1999-02-01,23.651143852
1999-03-01,23.657334232
1999-04-01,23.641190692
1999-05-01,23.65825672
1999-06-01,23.605513064000004
1999-07-01,23.594702152
1999-08-01,23.506806848000004
1999-09-01,23.533065388000004
1999-10-01,23.477449072
1999-11-01,23.486714411999998
1999-12-01,23.451514212
2000-01-01,23.511152252
2000-02-01,23.629149796
2000-03-01,23.544224256
2000-04-01,23.412688796
2000-05-01,23.4483907
2000-06-01,23.401432824000004
2000-07-01,23.400210932
2000-08-01,23.34327562
2000-09-01,23.34513678
2000-10-01,23.411466904
2000-11-01,23.42763472
2000-12-01,23.396609992
2001-01-01,23.412284196
2001-02-01,23.392377876
2001-03-01,23.597833756
2001-04-01,23.51761776
2001-05-01,23.521720404000003
2001-06-01,23.566768568000004
2001-07-01,23.5568235
2001-08-01,23.556766856
2001-09-01,23.613232831999998
2001-10-01,23.645519912
2001-11-01,23.610052676
2001-12-01,23.839897844000003
2002-01-01,24.097296271999998
2002-02-01,24.594476844000003
2002-03-01,25.586515584
2002-04-01,28.150749004
2002-05-01,29.47879186
2002-06-01,31.135831160000002
2002-07-01,32.071371556
2002-08-01,33.612428220000005
2002-09-01,34.091741656
2002-10-01,34.572649216
2002-11-01,34.557865132
2002-12-01,35.066860024
2003-01-01,35.144065796
2003-02-01,35.341939472
2003-03-01,35.83590752
2003-04-01,35.875922460000005
2003-05-01,35.682839248
2003-06-01,35.642136488000006
2003-07-01,35.773040772
2003-08-01,35.673428252
2003-09-01,35.649047056
2003-10-01,35.68029026800001
2003-11-01,35.575693076
2003-12-01,35.988109948
2004-01-01,36.029743288000006
2004-02-01,36.148728056
2004-03-01,36.688618204
2004-04-01,36.780349116000004
2004-05-01,37.322157068
2004-06-01,37.906472296000004
2004-07-01,38.338067208000005
2004-08-01,38.481441264000004
2004-09-01,38.540512864
2004-10-01,38.593240336
2004-11-01,38.974179328000005
2004-12-01,39.726686776
2005-01-01,39.768676164000006
2005-02-01,40.301914688000004
2005-03-01,41.445718888
2005-04-01,41.55456438
2005-05-01,41.622035476
2005-06-01,41.96720782800001
2005-07-01,42.192990812
2005-08-01,42.270835852
2005-09-01,42.678081936000005
2005-10-01,42.968341976000005
2005-11-01,43.463766584
2005-12-01,43.71819524800001
2006-01-01,44.288478948000005
2006-02-01,44.945953948
2006-03-01,45.139174724
2006-04-01,45.61626286
2006-05-01,45.657297392000004
2006-06-01,45.882740512
2006-07-01,46.013062172
2006-08-01,46.243805552
2006-09-01,46.63209208
2006-10-01,46.87762763600001
2006-11-01,47.396818448000005
2006-12-01,48.325602024
2007-01-01,48.541715068
2007-02-01,48.863728116000004
2007-03-01,49.57292718
2007-04-01,50.520953532
2007-05-01,51.102209984
2007-06-01,52.66047024
2007-07-01,53.757413668000005
2007-08-01,55.55565027600001
2007-09-01,57.90448274800001
2007-10-01,59.78012742800001
2007-11-01,60.104632812
2007-12-01,60.95452748
2008-01-01,61.682394788
2008-02-01,62.912605364
2008-03-01,66.146605532
2008-04-01,66.3450942
2008-05-01,67.17261448800001
2008-06-01,67.72937645600001
2008-07-01,67.589991756
2008-08-01,67.491940992
2008-09-01,68.67247478
2008-10-01,69.44546308000001
2008-11-01,71.051336664
2008-12-01,71.83069336800001
2009-01-01,71.92233526800001
2009-02-01,71.066339232
2009-03-01,72.83878663600001
2009-04-01,73.420285848
2009-05-01,73.307337712
2009-06-01,74.91220788800001
2009-07-01,75.463175984
2009-08-01,76.10990480800001
2009-09-01,77.840249536
2009-10-01,79.690922304
2009-11-01,81.172446124
2009-12-01,84.41569544800001
2010-01-01,86.344852524
2010-02-01,90.561318596
2010-03-01,89.90774394
2010-04-01,89.32422982
2010-05-01,93.81218249200002
2010-06-01,95.80764541600001
2010-07-01,97.823030844
2010-08-01,98.516151104
2010-09-01,100.0
2010-10-01,103.3
2010-11-01,105.3
2010-12-01,107.03
2011-01-01,108.52
2011-02-01,110.41
2011-03-01,113.16
2011-04-01,115.23
2011-05-01,118.37
2011-06-01,119.65
2011-07-01,122.51
2011-08-01,123.22
2011-09-01,127.6
2011-10-01,129.21
2011-11-01,131.24
2011-12-01,133.02
2012-01-01,135.31
2012-02-01,136.7
2012-03-01,139.74
2012-04-01,144.41
2012-05-01,146.71
2012-06-01,147.81
2012-07-01,149.53
2012-08-01,152.91
2012-09-01,156.78
2012-10-01,158.56
2012-11-01,162.22
2012-12-01,165.05
2013-01-01,167.63
2013-02-01,171.18
2013-03-01,173.02
2013-04-01,177.67
2013-05-01,178.6
2013-06-01,182.2
2013-07-01,187.2
2013-08-01,190.73
2013-09-01,192.72
2013-10-01,200.35
2013-11-01,208.35
2013-12-01,213.65
2014-01-01,218.6
2014-02-01,241.31
2014-03-01,245.56
2014-04-01,252.46
2014-05-01,259.16
2014-06-01,261.27
2014-07-01,261.98
2014-08-01,266.4
2014-09-01,276.81
2014-10-01,282.79
2014-11-01,285.55
2014-12-01,290.0
2015-01-01,294.36930779792044
2015-02-01,301.0276694143445
2015-03-01,305.57806027585326
2015-04-01,310.5591447144956
2015-05-01,318.3832060127267
2015-06-01,324.0822745354052
2015-07-01,331.36475792466007
2015-08-01,339.2341435960591
2015-09-01,346.4377813773661
2015-10-01,351.5352457909023
2015-11-01,356.8209943215332
2015-12-01,367.21406545750693
2016-01-01,376.9613451995346
2016-02-01,384.6807614719063
2016-03-01,395.38613089177755
2016-04-01,408.64376181692654
2016-05-01,426.0224027484347
2016-06-01,438.627592164211
2016-07-01,448.7431341036575
2016-08-01,460.74933595526244
2016-09-01,470.07290243101494
2016-10-01,488.4965830664717
2016-11-01,487.36740271290415
